Governo Federal 2018, Poderes Legislativo e Judiciário, Órgão Superior, UO, UG, Ação e PO;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;;;;;;;;;;;;
({Esfera Orçamentária} = 1:ORCAMENTO FISCAL, 2:ORCAMENTO DE SEGURIDADE SOCIAL) E ({Mês Lançamento} = 014/2018) E ({Item Informação} = DOTACAO INICIAL, DOTACAO ATUALIZADA, DESPESAS EMPENHADAS, DESPESAS LIQUIDADAS, DESPESAS INSCRITAS EM RP NAO PROCESSADOS, DESPESAS PAGAS) E ({UO - Poder} = 1:PODER LEGISLATIVO, 2:PODER JUDICIARIO);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Páginas:;;;;;;;;;;;;;;;;;;;;;
Mês Lançamento: 014/2018;;;;;;;;;;;;;;;;;;;;;
Métrica: Saldo - R$ (Item Informação);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
UO - Órgão Superior;;Unidade Orçamentária;;UG Executora;;Ação Governo;;Plano Orçamentário;;;;;;;Item Informação;9;13;23;25;27;28
 ;; ;; ;; ;; ;;;;;;; ;DOTACAO INICIAL;DOTACAO ATUALIZADA;DESPESAS EMPENHADAS;DESPESAS LIQUIDADAS;DESPESAS INSCRITAS EM RP NAO PROCESSADOS;DESPESAS PAGAS
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;1101;28;846;910;00OQ;1;CONTRIBUICAO AO PARLAMENTO LATINO-AMERICANO;;169.000,00;169.000,00;120.991,66;120.991,66;;120.991,66
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;1101;28;846;910;00OQ;2;CONTRIBUICAO A ASSOCIACAO DOS SECRETARIOS-GERAIS DO PARLAMENTO;;4.900,00;7.900,00;6.791,54;6.791,54;;6.791,54
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;00OQ;CONTRIBUICOES A ORGANISMOS INTERNACIONAIS SEM EXIGENCIA DE P;1101;28;846;910;00OQ;3;CONTRIBUICAO A UNIAO INTERPARLAMENTAR;;945.000,00;942.000,00;859.534,47;836.851,44;22.683,03;836.851,44
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;00PW;CONTRIBUICOES A ENTIDADES NACIONAIS SEM EXIGENCIA DE PROGRAM;1101;28;846;910;00PW;1;CONTRIBUICAO A ASSOCIACAO BRASILEIRA DE TELEVISOES E RADIOS LEGISLATIVOS - ASTRAL;;20.000,00;20.000,00;14.000,00;14.000,00;;14.000,00
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;181;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;1101;9;272;89;181;0;APOSENTADORIAS E PENSOES CIVIS DA UNIAO;;1.658.304.000,00;1.663.304.000,00;1.634.818.619,23;1.634.818.619,23;;1.634.818.211,29
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;397;APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA;1101;9;274;89;397;0;APOSENTADORIAS E PENSOES DO EXTINTO INSTITUTO DE PREVIDENCIA DOS CONGRESSISTAS - IPC;;139.300.000,00;118.300.000,00;108.483.426,20;108.483.426,20;;108.483.426,20
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;531;COMPENSACAO FINANCEIRA ENTRE ENTIDADES DE PREVIDENCIA FEDERA;1101;28;845;909;531;0;COMPENSACAO FINANCEIRA ENTRE ENTIDADES DE PREVIDENCIA FEDERAL, ESTADUAL E MUNICIPAL;;378.170,00;378.170,00;249.292,49;249.292,49;;249.292,49
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;536;BENEFICIOS E PENSOES INDENIZATORIAS DECORRENTES DE LEGISLACA;1101;28;846;909;536;0;BENEFICIOS E PENSOES INDENIZATORIAS DECORRENTES DE LEGISLACAO ESPECIAL E/OU DECISOES JUDICIAIS;;96.000,00;96.000,00;91.584,00;91.584,00;;91.584,00
1000;CAMARA DOS DEPUTADOS;1101;CAMARA DOS DEPUTADOS;10001;CAMARA DOS DEPUTADOS;09HB;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O;1101;1;846;553;09HB;0;CONTRIBUICAO DA UNIAO, DE SUAS AUTARQUIAS E FUNDACOES PARA O CUSTEIO DO REGIME DE PREVIDENCIA DOS SERVIDORES PUBLICOS FEDERAIS;;334.262.553,00;334.262.553,00;224.351.817,18;224.351.817,18;;224.351.817,18
